conv spk part sid chno starttime endtime word.id wavfile
AlGore_2006 AG AG 62 NA 43.17 43.25 AlGore_2006.AG.words62 AlGore_2006-light.wav
AlGore_2006 AG AG 63 NA 43.25 43.63 AlGore_2006.AG.words63 AlGore_2006-light.wav
AlGore_2006 AG AG 64 NA 43.63 43.96 AlGore_2006.AG.words64 AlGore_2006-light.wav
AlGore_2006 AG AG 65 NA 50.29 50.47 AlGore_2006.AG.words65 AlGore_2006-light.wav
AlGore_2006 AG AG 66 NA 50.47 51.01 AlGore_2006.AG.words66 AlGore_2006-light.wav
AlGore_2006 AG AG 67 NA 51.01 51.13 AlGore_2006.AG.words67 AlGore_2006-light.wav
AlGore_2006 AG AG 68 NA 51.13 51.37 AlGore_2006.AG.words68 AlGore_2006-light.wav
AlGore_2006 AG AG 69 NA 51.37 51.87 AlGore_2006.AG.words69 AlGore_2006-light.wav
AlGore_2006 AG AG 70 NA 58.83 59.02 AlGore_2006.AG.words70 AlGore_2006-light.wav
AlGore_2006 AG AG 71 NA 59.02 59.25 AlGore_2006.AG.words71 AlGore_2006-light.wav
AlGore_2006 AG AG 72 NA 59.25 59.37 AlGore_2006.AG.words72 AlGore_2006-light.wav
AlGore_2006 AG AG 73 NA 59.37 59.55 AlGore_2006.AG.words73 AlGore_2006-light.wav
AlGore_2006 AG AG 74 NA 59.55 59.88 AlGore_2006.AG.words74 AlGore_2006-light.wav
AlGore_2006 AG AG 75 NA 59.88 60.21 AlGore_2006.AG.words75 AlGore_2006-light.wav
AlGore_2006 AG AG 76 NA 60.21 60.4 AlGore_2006.AG.words76 AlGore_2006-light.wav
AlGore_2006 AG AG 77 NA 60.43 60.68 AlGore_2006.AG.words77 AlGore_2006-light.wav
AlGore_2006 AG AG 78 NA 60.68 61.23 AlGore_2006.AG.words78 AlGore_2006-light.wav
AlGore_2006 AG AG 79 NA 63.14 63.43 AlGore_2006.AG.words79 AlGore_2006-light.wav
AlGore_2006 AG AG 80 NA 63.43 63.53 AlGore_2006.AG.words80 AlGore_2006-light.wav
AlGore_2006 AG AG 81 NA 63.53 63.63 AlGore_2006.AG.words81 AlGore_2006-light.wav
AlGore_2006 AG AG 82 NA 63.63 63.77 AlGore_2006.AG.words82 AlGore_2006-light.wav
AlGore_2006 AG AG 83 NA 63.77 64.11 AlGore_2006.AG.words83 AlGore_2006-light.wav
