conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 54 NA 234.03 235.91 AlGore_2006.AG.p.32.seg.70 AlGore_2006-light.wav
AlGore_2006 AG AG 55 NA 236.75 239.67 AlGore_2006.AG.p.32.seg.71 AlGore_2006-light.wav
AlGore_2006 AG AG 56 NA 239.67 242.31 AlGore_2006.AG.p.32.seg.72 AlGore_2006-light.wav
AlGore_2006 AG AG 57 NA 243.61 246.19 AlGore_2006.AG.p.32.seg.73 AlGore_2006-light.wav
AlGore_2006 AG AG 58 NA 246.45 250.02 AlGore_2006.AG.p.32.seg.74 AlGore_2006-light.wav
AlGore_2006 AG AG 59 NA 251.43 252.77 AlGore_2006.AG.p.32.seg.75 AlGore_2006-light.wav
AlGore_2006 AG AG 60 NA 252.77 253.7 AlGore_2006.AG.p.32.seg.76 AlGore_2006-light.wav
AlGore_2006 AG AG 61 NA 253.7 255.53 AlGore_2006.AG.p.32.seg.77 AlGore_2006-light.wav
AlGore_2006 AG AG 62 NA 255.95 257.76 AlGore_2006.AG.p.32.seg.78 AlGore_2006-light.wav
AlGore_2006 AG AG 63 NA 265.57 267.11 AlGore_2006.AG.p.34.seg.80 AlGore_2006-light.wav
AlGore_2006 AG AG 64 NA 267.39 270.32 AlGore_2006.AG.p.34.seg.81 AlGore_2006-light.wav
AlGore_2006 AG AG 65 NA 270.48 276.81 AlGore_2006.AG.p.34.seg.82 AlGore_2006-light.wav
AlGore_2006 AG AG 66 NA 276.81 278.18 AlGore_2006.AG.p.34.seg.83 AlGore_2006-light.wav
AlGore_2006 AG AG 67 NA 278.32 280.07 AlGore_2006.AG.p.34.seg.84 AlGore_2006-light.wav
AlGore_2006 AG AG 68 NA 280.15 282.54 AlGore_2006.AG.p.34.seg.85 AlGore_2006-light.wav
AlGore_2006 AG AG 69 NA 282.54 283.75 AlGore_2006.AG.p.34.seg.86 AlGore_2006-light.wav
AlGore_2006 AG AG 70 NA 286.2 288.26 AlGore_2006.AG.p.36.seg.88 AlGore_2006-light.wav
AlGore_2006 AG AG 71 NA 288.6 292.56 AlGore_2006.AG.p.36.seg.89 AlGore_2006-light.wav
AlGore_2006 AG AG 72 NA 292.98 296.34 AlGore_2006.AG.p.36.seg.90 AlGore_2006-light.wav
AlGore_2006 AG AG 73 NA 298.09 298.93 AlGore_2006.AG.p.38.seg.92 AlGore_2006-light.wav
